date,retail_sales_millions,mom_pct_change,yoy_pct_change,rolling_12m_avg,rolling_12m_std,year,month,is_recession
2000-08-01,266885,0.4524188600700807,5.137407226485569,263159.6666666667,4810.007887601337,2000,8,False
2000-09-01,270523,1.363133934091465,6.075387504950425,264450.8333333333,4498.520319016606,2000,9,False
2000-10-01,270339,-0.06801639786635505,6.09184666582947,265744.4166666667,3622.7028447713506,2000,10,False
2000-11-01,268850,-0.5507899341197553,4.151735733129813,266637.5,2804.2750643192985,2000,11,False
2000-12-01,268338,-0.1904407662265184,1.9091492569623059,267056.4166666667,2632.3813780864666,2000,12,False
2001-01-01,272881,1.6930140345385203,4.334244585061842,268001.0833333333,2505.7219049908945,2001,1,False
2001-02-01,272627,-0.09308086675143823,2.612482404040861,268579.5,2715.1053721389953,2001,2,False
2001-03-01,269820,-1.029611887303894,0.2977484861663937,268646.25,2736.6532688004577,2001,3,True
2001-04-01,274410,1.7011340893929194,3.916808991657428,269508.1666666667,2791.520629377916,2001,4,True
2001-05-01,275769,0.4952443424073527,3.6756744563746224,270322.9166666667,3083.493545796705,2001,5,True
2001-06-01,274474,-0.46959592992685817,2.5112978524743257,270883.25,3182.782776839448,2001,6,True
2001-07-01,273098,-0.5013225296385038,2.790920006172759,271501.1666666667,2775.08122185267,2001,7,True
2001-08-01,275659,0.9377586068004984,3.2875583116323437,272232.3333333333,2598.516371573216,2001,8,True
2001-09-01,268652,-2.541908662514192,-0.6916232630866825,272076.4166666667,2761.429256359727,2001,9,True
2001-10-01,288632,7.4371305629587825,6.76668923092858,273600.8333333333,5452.797244339818,2001,10,True
2001-11-01,280033,-2.9792261426314526,4.159568532639013,274532.75,5522.217129263269,2001,11,True
2001-12-01,276302,-1.3323429738637982,2.967898694929527,275196.4166666667,5177.868804446689,2001,12,False
2002-01-01,277135,0.3014817120397195,1.5589212880339876,275550.9166666667,5150.485298552725,2002,1,False
2002-02-01,278869,0.625687841665612,2.2895751337908665,276071.0833333333,5143.539592331398,2002,2,False
2002-03-01,278079,-0.28328713481957646,3.060929508561272,276759.3333333333,4770.052645666116,2002,3,False
2002-04-01,281147,1.1032835992649481,2.4550854560693836,277320.75,4863.9435202502145,2002,4,False
2002-05-01,278966,-0.7757507638352923,1.159303620058827,277587.1666666667,4858.774608578998,2002,5,False
2002-06-01,280426,0.5233612698321677,2.1685114072735434,278083.1666666667,4815.690016325359,2002,6,False
2002-07-01,284161,1.3319021774015338,4.050926773539176,279005.0833333333,4833.487174406704,2002,7,False
2002-08-01,285884,0.6063464022156406,3.709293003312064,279857.1666666667,5084.7298101695615,2002,8,False
2002-09-01,281064,-1.685998516880971,4.620103330702907,280891.5,3661.3682365530153,2002,9,False
2002-10-01,282940,0.6674636381749366,-1.9720613099032724,280417.1666666667,2845.137760951257,2002,10,False
2002-11-01,283408,0.16540609316462174,1.2052150996489708,280698.4166666667,2967.8761753865588,2002,11,False
2002-12-01,286646,1.142522441144922,3.7437296870815207,281560.4166666667,3075.1189026043503,2002,12,False
2003-01-01,288657,0.701562205647388,4.157540548829997,282520.5833333333,3353.8859539983605,2003,1,False
2003-02-01,284696,-1.372216852527397,2.0895115627767913,283006.1666666667,3195.208681002676,2003,2,False
2003-03-01,288177,1.2227077303509803,3.63134217254808,283847.6666666667,3108.142132392761,2003,3,False
2003-04-01,289053,0.30397984571981507,2.8120520581759623,284506.5,3314.6942955166965,2003,4,False
2003-05-01,289619,0.19581184073509394,3.8187449366589465,285394.25,3116.5612788054277,2003,5,False
2003-06-01,293671,1.3990794802827056,4.723171175283314,286498.0,3516.7703417152234,2003,6,False
2003-07-01,296207,0.8635513891395385,4.2391461178697964,287501.8333333333,4397.885294162469,2003,7,False
2003-08-01,299592,1.1427819058968947,4.794951798631608,288644.1666666667,5564.914323172211,2003,8,False
2003-09-01,298921,-0.2239712675905947,6.353357242478586,290132.25,5738.487750191359,2003,9,False
2003-10-01,298205,-0.23952816965017165,5.395136778115495,291404.3333333333,5690.942873363312,2003,10,False
2003-11-01,299433,0.4117972535671699,5.65439225427653,292739.75,5521.637012287295,2003,11,False
2003-12-01,300702,0.4238009838595014,4.903609329974956,293911.0833333333,5601.725407219252,2003,12,False
2004-01-01,301993,0.429328704165588,4.620016143727668,295022.4166666667,5784.492174746574,2004,1,False
2004-02-01,303915,0.636438592947508,6.750709528760512,296624.0,5306.309914535623,2004,2,False
2004-03-01,309471,1.8281427372785153,7.389208715476947,298398.5,5765.363435678934,2004,3,False
2004-04-01,307358,-0.6827780308978904,6.332748665469645,299923.9166666667,5482.576442420071,2004,4,False
2004-05-01,311088,1.2135685422211218,7.41284238948412,301713.0,5314.4802875994665,2004,5,False
2004-06-01,309127,-0.6303682559275825,5.263032441065008,303001.0,5054.853761036577,2004,6,False
2004-07-01,311681,0.8261976469218224,5.224049397887298,304290.5,5137.183991609404,2004,7,False
2004-08-01,311192,-0.156891180405605,3.8719324948596867,305257.1666666667,5262.549672983428,2004,8,False
2004-09-01,317446,2.0096917658551705,6.1972895848736,306800.9166666667,5911.940159286302,2004,9,False
2004-10-01,318476,0.32446463335495945,6.797672741905747,308490.1666666667,6124.736741405965,2004,10,False
2004-11-01,320520,0.6418066039513226,7.042309965835436,310247.4166666667,6312.079998029868,2004,11,False
